Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Median Passing Read Percentage	scATAC-seq Level 1,scmC-seq Level 1	Non-PCR duplicate nuclear genomic sequence reads not aligning to unanchored contigs out of total reads assigned to the nucleus barcode	True		String	
Median Percentage of Mitochondrial Reads per Nucleus	scATAC-seq Level 1,scATAC-seq Level 2,scmC-seq Level 1	Contamination from mitochondrial sequences	True		String	
Peaks Calling Software	scATAC-seq Level 1,scmC-seq Level 1	Generic name of peaks calling tool	True		String	
Nuclei Barcode	scATAC-seq Level 1	Nuclei Barcode	False		String	Nuclei Barcode Read Nuclei Barcode Length
scATACseq Paired End	scATAC-seq Level 1	A library layout type	False		String	scATACseq Read1 scATACseq Read2
nCount Peaks	scATAC-seq Level 2,scATAC-seq Level 3	Total number of fragments in peaks	False		String	
nFeature Peaks	scATAC-seq Level 2,scATAC-seq Level 3	Number of peaks with at least one read	False		String	
Total Read-Pairs	scATAC-seq Level 2,scATAC-seq Level 3	Total read-pairs	False		String	
Duplicate Read-Pairs	scATAC-seq Level 2,scATAC-seq Level 3	Number of duplicate read-pairs	False		String	
Chimeric Read-Pairs	scATAC-seq Level 2,scATAC-seq Level 3	Number of chimerically mapped read-pairs	False		String	
Unmapped Read-Pairs	scATAC-seq Level 2,scATAC-seq Level 3	Number of read-pairs with at least one end not mapped	False		String	
LowMapQ	scATAC-seq Level 2,scATAC-seq Level 3	Number of read-pairs with <30 mapq on at least one end	False		String	
Mitochondrial Read-Pairs	scATAC-seq Level 2,scATAC-seq Level 3	Number of read-pairs mapping to mitochondria and non-nuclear contigs	False		String	
Passed Filters	scATAC-seq Level 2,scATAC-seq Level 3	Number of non-duplicate, usable read-pairs i.e. fragments	False		String	
TSS Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping with TSS regions	False		String	
DNase Sensitive Region Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping with DNase sensitive regions	False		String	
Enhancer Region Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping enhancer regions	False		String	
Promoter Region Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping promoter regions	False		String	
On Target Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping any of TSS, enhancer, promoter and DNase hypersensitivity sites (counted with multiplicity)	False		String	
Blacklist Region Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping blacklisted regions	False		String	
Peak Region Fragments	scATAC-seq Level 2,scATAC-seq Level 3	Number of fragments overlapping peaks	False		String	
Peak Region Cutsites	scATAC-seq Level 2,scATAC-seq Level 3	Number of ends of fragments in peak regions	False		String	
Nucleosome Signal	scATAC-seq Level 2,scATAC-seq Level 3	Nucleosome signal score (strength of the nucleosome signal per cell, computed as the ratio of fragments between 147 bp and 294 bp (mononucleosome) to fragments < 147 bp (nucleosome-free))	False		String	
Nucleosome Percentile	scATAC-seq Level 2,scATAC-seq Level 3	Percentile rank of nucleosome score	False		String	
TSS Enrichment	scATAC-seq Level 2,scATAC-seq Level 3	Transcription start site (TSS) enrichment score	False		String	
TSS Percentile	scATAC-seq Level 2,scATAC-seq Level 3	Percentile rank of TSS score	False		String	
Pct Reads in Peaks	scATAC-seq Level 2,scATAC-seq Level 3	Percentage of reads in peaks	False		String	
Blacklist Ratio	scATAC-seq Level 2,scATAC-seq Level 3	Ratio of reads in blacklist regions	False		String	
Seurat Clusters	scATAC-seq Level 2,scATAC-seq Level 3	Clusters of cells by a shared nearest neighbor (SNN) modularity optimization based clustering algorithm	False		String	
nCount RNA	scATAC-seq Level 2,scATAC-seq Level 3	Total number of fragments in genes	False		String	
nFeature RNA	scATAC-seq Level 2,scATAC-seq Level 3	Number of genes detected in cell	False		String	
MACS2 Seqnames	scATAC-seq Level 2,scATAC-seq Level 3	Chromosome id	False		String	
MACS2 Start	scATAC-seq Level 2,scATAC-seq Level 3	Genomic starting position in MACS2	False		String	
MACS2 End	scATAC-seq Level 2,scATAC-seq Level 3	Genomic ending position in MACS2	False		String	
MACS2 Width	scATAC-seq Level 2,scATAC-seq Level 3	Width of the peak in bases in MACS2	False		String	
MACS2 Strand	scATAC-seq Level 2,scATAC-seq Level 3	DNA stand aligned with in MACS2	False		String	
MACS2 Name	scATAC-seq Level 2,scATAC-seq Level 3	Name of the peak in MACS2	False		String	
MACS2 Score	scATAC-seq Level 2,scATAC-seq Level 3	Peak score (proportional to q-value) in MACS2	False		String	
MACS2 Fold Change	scATAC-seq Level 2,scATAC-seq Level 3	Fold enrichment for this peak summit against random Poisson distribution with local lambda in MACS2	False		String	
MACS2 Neg Log10 pvalue Summit	scATAC-seq Level 2,scATAC-seq Level 3	Negative log10 p-value for the peak summit in MACS2	False		String	
MACS2 Neg Log10 qvalue Summit	scATAC-seq Level 2,scATAC-seq Level 3	Negative log10 q-value for the peak summit in MACS2	False		String	
MACS2 Relative Summit Position	scATAC-seq Level 2,scATAC-seq Level 3	Position of the peak summit related to the start position in MACS2	False		String	
scATAC-seq Object ID	scATAC-seq Level 3	Orig.Ident or scATAC-seq Object ID	False		String	
scATACseq Workflow Type	scATAC-seq Level 4	Generic name for the workflow used to analyze a data set.	True		String	
scATACseq Workflow Parameters Description	scATAC-seq Level 4	Parameters used to run the scATAC-seq workflow.	True		String	
scmCseq Read1	scmC-seq Level 1	Read 1 content description	True		String	Cell Barcode and UMI cDNA
scmCseq Read2	scmC-seq Level 1	Read 2 content description	True		String	Cell Barcode and UMI cDNA
scmCseq Read3	scmC-seq Level 1	Read 3 content description	True		String	Cell Barcode and UMI cDNA
Single Nucleus Capture	scmC-seq Level 1	Nuclei isolation method	False		String	Plates 10x droplet
Bisulfite Conversion	scmC-seq Level 1,Bulk Methylation-seq Level 1	Name of the kit used in bisulfite conversion.	True		String	Zimo EZ DNA Methylation Kit Zimo EZ-96 DNA Methylation Shallow Kit Zimo EZ-96 DNA Methylation Deep Kit NEBNext Enzymatic Methyl-seq Kit Agilent SureSelectXT Methyl-Seq
Target Capture Kit	Bulk WES Level 1	Description that can uniquely identify a target capture kit. Suggested value is a combination of vendor, kit name, and kit version.	True		String	Not Applicable Custom Targets File Provided Custom AmpliSeq Cancer Hotspot GENIE-MDA Augmented Panel v1 - 46 Genes Custom GENIE-DFCI OncoPanel - 275 Genes Custom GENIE-DFCI Oncopanel - 300 Genes Custom GENIE-DFCI Oncopanel - 447 Genes Custom HaloPlex DLBCL Panel - 370 Genes Custom Ion AmpliSeq Hotspot GENIE-MOSC3 Augmented Panel - 74 Genes Custom Large Construct Capture TARGET-OS Panel - 8 Genes Custom MSK IMPACT Panel - 341 Genes Custom MSK IMPACT Panel - 410 Genes Custom MSK IMPACT Panel - 468 Genes Custom Myeloid GENIE-VICC Panel - 37 Genes Custom Personalis ACEcp VAREPOP-APOLLO Panel v2 Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 203 Genes Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 88 Genes Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v1 Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v2 Custom SeqCap EZ TARGET-OS Panel - 7.0 Mb Custom Solid Tumor GENIE-VICC Panel - 34 Genes Custom SureSelect CGCI-BLGSP Panel - 4.6 Mb Custom SureSelect CGCI-HTMCP-CC KMT2D And Hotspot Panel - 37.0 Kb Custom SureSelect CGCI-HTMCP-CC Panel - 19.7 Mb Custom SureSelect GENIE-UHN Panel - 555 Genes Custom SureSelect Human All Exon v1.1 Plus 3 Boosters Custom SureSelect TARGET-AML_NBL_WT Panel - 2.8 Mb Custom Twist Broad Exome v1.0 - 35.0 Mb Custom Twist Broad PanCancer Panel - 396 Genes Foundation Medicine T5a Panel - 322 Genes Foundation Medicine T7 Panel - 429 Genes Ion AmpliSeq Cancer Hotspot Panel v2 Ion AmpliSeq Comprehensive Cancer Panel Nextera DNA Exome Nextera Rapid Capture Exome v1.2 SeqCap EZ HGSC VCRome v2.1 SeqCap EZ Human Exome v2.0 SeqCap EZ Human Exome v3.0 SureSelect Human All Exon v3 SureSelect Human All Exon v4 SureSelect Human All Exon v5 SureSelect Human All Exon v5 + UTR TruSeq Amplicon Cancer Panel TruSeq Exome Enrichment - 62 Mb TruSeq RNA Exome TruSight Myeloid Sequencing Panel xGen Exome Research Panel v1.0 xGen Universal Blocking Oligo – TS HT-i5 - 25 rxn 25 rxn xGen Universal Blocking Oligo – TS HT-i7 SureSelect Human All Exon v6 unknown
MSI Workflow Link	Bulk WES Level 2,Bulk RNA-seq Level 2	Link to method workflow (or command) used in estimating the MSI. URL	False		String	
MSI Score	Bulk WES Level 2,Bulk RNA-seq Level 2	Numeric score denoting the aligned reads file's MSI score from MSIsensor. Number	False		String	
MSI Status	Bulk WES Level 2,Bulk RNA-seq Level 2	MSIsensor determination of either microsatellite stability or instability.	False		String	MSI MSI-low MSI-high MSS
Germline Variants Workflow URL	Bulk WES Level 3	Link to workflow document, e.g. Github, DockStore.org recommended	True		String	
Germline Variants Workflow Type	Bulk WES Level 3	Generic name for the workflow used to analyze a data set	False		String	GATK4 Other Germline Variants Workflow Type None
Somatic Variants Workflow URL	Bulk WES Level 3	Generic name for the workflow used to analyze a data set.	True		String	
Somatic Variants Workflow Type	Bulk WES Level 3	Generic name for the workflow used to analyze a data set.	False		String	CaVEMan GATK4 MuTect2 MuSE Pindel SomaticSniper VarScan2 Other Somatic Variants Workflow Type None
Somatic Variants Sample Type	Bulk WES Level 3	Is the sample case or control in somatic variant analysis	True		String	Case Sample Control Sample Not Applicable
Structural Variant Workflow URL	Bulk WES Level 3	Link to workflow document. DockStore.org recommended. URL	True		String	
Structural Variant Workflow Type	Bulk WES Level 3	Generic name for the workflow used to analyze a data set.	False		String	BRASS GATK4 CNV CNVkit Other Structural Variant Workflow Type None
Replicate Type	Bulk Methylation-seq Level 1	A common term for all files belonging to the same sample. We suggest using a stable sample accession from a biosample archive like BioSamples.	True		String	Technical replicate Biological replicate Not Applicable
Bulk Methylation Assay Type	Bulk Methylation-seq Level 1	Assay types normally determine genomic coverage	True		String	Whole genome Targeted Genome Beadchip Array
Total DNA Input	Bulk Methylation-seq Level 1	Overall number of reads for a given sample in digits (microgram, nanogram).	False		String	
Trimmer	Bulk Methylation-seq Level 2	Software used for trimming	True		String	FASTX toolkit SolexaQA Btrim Cutadapt Kraken PRINSEQ Adapter removal Trim Galore! ConDeTri ERNE-FILTER Trimmo-matic
Bulk Methylation Genomic Reference	Bulk Methylation-seq Level 2	The human genome reference used in the alignment of reads	True		String	HG19 HG38 T2T CHM13
Duplicate Removal Software	Bulk Methylation-seq Level 2	Software used for remove duplicate reads	True		String	Samtools sort picard MarkDuplicates
Proportion of Minimum CpG Coverage 10X	Bulk Methylation-seq Level 2	Proportion of all reference bases for whole genome sequencing, or targeted sequencing, that achieves 10X or greater coverage per CpG.	False		String	
DMC Calling Tool	Bulk Methylation-seq Level 3	Software used for calling differentially methylated CpG (DMC) and differentially methylated region (DMR)	True		String	MethylKit BSmooth BiSeq MethylSig DSS MOABS DSS-single metilene MACAU MethylDackel
DMC Calling Workflow URL	Bulk Methylation-seq Level 3	Generic name for the workflow used to analyze a data set	True		String	
DMR Calling Tool	Bulk Methylation-seq Level 3	Software used for calling differentially methylated CpG (DMC) and differentially methylated region (DMR)	True		String	MethylKit BSmooth BiSeq MethylSig DSS MOABS DSS-single metilene MACAU
DMR Calling Workflow URL	Bulk Methylation-seq Level 3	Generic name for the workflow used to analyze a data set	True		String	
pUC19 methylation ratio	Bulk Methylation-seq Level 3	Methylation ratio of mostly methylated pUC19 control, as a percentage	True		String	
Lambda methylation ratio	Bulk Methylation-seq Level 3	Methylation ratio of mostly unmethylated lambda control, as a percentage	True		String	
DMC data file format	Bulk Methylation-seq Level 3	Format of the data files	True		String	BED bedGraph
DMR data file Format	Bulk Methylation-seq Level 3	Format of the data files.	True		String	BED bedGraph
Micro-region Seq Platform	Bulk RNA-seq Level 1	The platform used for micro-regional RNA sequencing (if applicable)	False		String	Rarecyte Pick-Seq Laser Capture Microdissection
ROI Tag	Bulk RNA-seq Level 1	The tag or grouping used to identify the ROI in micro-regional RNA sequencing (if applicable). Must match the ROI tag within the count matrix in level 3.	False		String	
Transcript Integrity Number	Bulk RNA-seq Level 1	Used to describe the quality of the starting material, esp. in regards to FFPE samples. Number	False		String	
RIN	Bulk RNA-seq Level 1	A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample including the presence or absence of degradation products. Number	False		String	
DV200	Bulk RNA-seq Level 1	Represents the percentage of RNA fragments that are >200 nucleotides in size. Number	False		String	
Pseudo Alignment Used	Bulk RNA-seq Level 3	Pseudo aligners such as Kallisto or Salmon do not produce aligned reads BAM files. True indicates pseudoalignment was used.	True		String	Yes - Pseudo Alignment Used no
Expression Units	Bulk RNA-seq Level 3	How quantities are corrected for gene length	True		String	TPM RPKM FPKM Counts Other NA
Fusion Gene Detected	Bulk RNA-seq Level 3	Was a fusion gene identified?	False		String	Yes - Fusion Gene Detected no unknown
Fusion Gene Identity	Bulk RNA-seq Level 3	The gene symbols of fused genes.	False		String	EWS-FLI EWS-ERG SYT-SSX1 SYT-SSX2 EWS-WT1 Other Fusion Gene
Crosslinking Condtion	HI-C-seq Level 1	Detailed condition for DNA crosslinking	True		String	
DNA Digestion Condition	HI-C-seq Level 1	Enzymes and treatment length/temperature for genome digestion	True		String	
Nuclei Permeabilization Method	HI-C-seq Level 1	Detergent and treatment condition for nuclei permeabilization and crosslinking softening	True		String	
Ligation Condition	HI-C-seq Level 1	Name of ligase and condition for proximity ligation	True		String	
Biotin Enrichment	HI-C-seq Level 1	Whether biotin is used for enriching ligation product	True		String	yes no
DNA Input Amount	HI-C-seq Level 1	Amount of DNA for library construction, in nanograms.	True		String	
Aligned Read Length	HI-C-seq Level 2,scRNA-seq Level 2	Read length used for alignment if hard trimming was applied	True	Applied Hard Trimming is "Yes - Applied Hard Trimming"	String	
Tool	HI-C-seq Level 2	Were any software or computational tools generated for this content	True		String	yes no
Resolution	HI-C-seq Level 2	Binning size used for generating contact matrix, in basepair.	True		String	
Normalization Method	HI-C-seq Level 2	Description of Normalization Process	False		String	
Stripe Calling	HI-C-seq Level 3	Tool used for identifying architectural stripe-forming, interaction hotspots.	True		String	MACS2 Other
Loop Window	HI-C-seq Level 3	Binning size used for calling significant dot interactions (loops)	True		String	
Stripe Window	HI-C-seq Level 3	Binning size used for calling significant architectural stripes. Can be an integer or comma-separated list of integers indicating bin size and sliding window size if different.	True		String	
Loop Calling	HI-C-seq Level 3	Tool used for identifying loop interactions	True		String	HiCCUPS Cooltools Other
cDNA	scRNA-seq Level 1,scmC-seq Level 1	Complementary DNA. A DNA copy of an mRNA or complex sample of mRNAs, made using reverse transcriptase	False		String	
ERCC	scRNA-seq Level 1	The External RNA Controls Consortium (ERCC) spike in set is commonly used in single-cell experiments for normalization	False		String	
Yes - Applied Hard Trimming	scRNA-seq Level 2	Hard Trimming was applied	False		String	
Yes - Trim Adapter Sequence	scDNA-seq Level 1	Trim adapter sequence	False		String	Adapter Trimmer Name Adapter Trimmer Version Adapter Trimmer Options
Other Alignment Workflow	scDNA-seq Level 2	Other Alignment Workflow	False		String	
Other Germline Variants Workflow Type	Bulk WES Level 3	Other Germline Variants Workflow Type	False		String	
Other Somatic Variants Workflow Type	Bulk WES Level 3	Other Somatic Variants Workflow Type	False		String	
Other Structural Variant Workflow Type	Bulk WES Level 3	Other Structural Variant Workflow Type	False		String	
Targeted Genome	Bulk Methylation-seq Level 1	Assay for analyzing specific mutations in a given sample	False		String	MeDIP RRBS
Beadchip Array	Bulk Methylation-seq Level 1	Assay that uses beads to target a specific locus on the genome.	False		String	HM27K HM450K
Yes - Pseudo Alignment Used	Bulk RNA-seq Level 3	Pseudo aligner was used	False		String	
Yes - Fusion Gene Detected	Bulk RNA-seq Level 3	A fusion gene was detected	False		String	
Other Fusion Gene	Bulk RNA-seq Level 3	Other fusion gene detected.	False		String	
cDNA Offset	scRNA-seq Level 1	Offset in sequence for cDNA read (in bp): number	True	Spatial Read2 is "cDNA"	String	
cDNA Length	scRNA-seq Level 1	Length of cDNA read (in bp): number	True	Spatial Read2 is "cDNA"	String	
Spike In Concentration	scRNA-seq Level 1	The final concentration or dilution (for commercial sets) of the spike in mix [PMID:21816910]	True	Spike In is "ERCC"	String	
Adapter Trimmer Name	scDNA-seq Level 1	Name of adapter trimmer	False		String	
Adapter Trimmer Version	scDNA-seq Level 1	Version of the adapter trimmer	False		String	
Adapter Trimmer Options	scDNA-seq Level 1	Options used by adapter trimmer	False		String	
Custom Alignment Workflow	scDNA-seq Level 2	Specify the name of a custom alignment workflow	True	Alignment is "Other Alignment Workflow"	String	
Custom Germline Variants Workflow Type	Bulk WES Level 3	Specify the name of a custom alignment workflow	True	Germline is "Other"	String	
Custom Somatic Variants Workflow Type	Bulk WES Level 3	Specify the name of a custom workflow name	True	Somatic is "Other"	String	
Custom Structural Variant Workflow Type	Bulk WES Level 3	Specify the name of a custom workflow name	True	Structural is "Other"	String	
Software and Version	Bulk RNA-seq Level 3	Name of software used to generate expression values. String	True	Pseudo Alignment Used is "Yes - Pseudo Alignment Used"	String	
Specify Other Fusion Gene	Bulk RNA-seq Level 3	Specify fusion gene detected, if not in list	False	Fusion Gene Identity is "Other Fusion Gene"	String	
